Região,2025*,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
Sul,7.336.983,7.546.357,7.874.809,7.304.948,6.722.502,6.828.027,6.776.855,6.899.718,7.002.470,6.909.221,6.962.420,7.146.416,85.310.727
,2016,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,38.441.186,38.756.966,39.479.836,40.307.616,38.684.472,37.590.445,37.298.614,37.720.362,38.378.745,38.233.197,38.787.249,38.793.147,462.471.835
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.734.717,2.708.799,2.863.718,2.727.271,2.862.447,2.818.826,2.900.857,2.932.615,2.919.161,2.946.530,2.952.602,2.896.559,34.264.102
Nordeste,6.543.905,6.285.470,6.800.586,6.611.776,6.724.308,6.604.304,6.471.043,6.525.392,6.631.317,6.688.902,6.826.028,6.867.825,79.580.856
Sudeste,19.314.001,19.495.060,19.611.354,20.520.225,19.303.127,18.651.589,18.388.987,18.697.911,19.239.375,19.147.568,19.361.478,19.268.369,230.999.044
Sul,7.006.050,7.435.557,7.281.857,7.357.144,6.888.256,6.671.439,6.696.955,6.639.373,6.609.824,6.477.768,6.713.126,6.950.033,82.727.381
Centro-Oeste,2.842.513,2.832.080,2.922.322,3.091.200,2.906.334,2.844.288,2.840.772,2.925.072,2.979.068,2.972.429,2.934.015,2.810.360,34.900.452
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,242.029,243.642,252.453,242.473,231.265,234.959,230.566,260.542,252.657,252.358,252.408,242.865,2.938.217
Norte,2.738.088,2.710.419,2.862.575,2.749.857,2.907.970,2.866.943,2.945.013,2.930.266,2.987.174,2.976.023,3.004.283,2.947.041,34.625.652
Nordeste,6.014.430,5.753.864,6.247.959,6.053.415,6.158.030,6.039.360,5.908.854,5.955.999,6.014.965,6.102.011,6.215.460,6.277.029,72.741.376
Sudeste/C. Oeste,22.440.589,22.613.484,22.834.993,23.904.727,22.498.951,21.777.744,21.517.226,21.934.183,22.514.125,22.425.037,22.601.972,22.376.178,269.439.209
Sul,7.006.050,7.435.557,7.281.857,7.357.144,6.888.256,6.671.439,6.696.955,6.639.373,6.609.824,6.477.768,6.713.126,6.950.033,82.727.381
,2015,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,40.715.758,40.673.351,39.720.790,39.552.923,38.160.017,37.220.117,36.777.765,37.809.350,37.789.562,39.265.964,39.208.066,38.629.200,465.522.864
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.719.895,2.564.690,2.708.587,2.646.115,2.717.649,2.692.275,2.832.877,2.891.977,2.964.444,3.050.012,2.958.108,2.962.634,33.709.263
Nordeste,6.910.768,6.695.450,6.850.712,6.679.151,6.662.518,6.443.549,6.220.911,6.339.650,6.391.792,6.644.503,6.664.351,6.802.749,79.306.103
Sudeste,20.943.263,20.869.827,20.150.053,20.215.138,19.296.452,18.752.591,18.532.921,19.084.994,18.919.408,19.814.546,19.836.832,19.359.382,235.775.407
Sul,7.330.738,7.665.269,7.278.854,7.236.052,6.683.610,6.567.886,6.446.540,6.648.544,6.494.009,6.593.180,6.665.911,6.609.532,82.220.125
Centro-Oeste,2.811.094,2.878.115,2.732.584,2.776.468,2.799.788,2.763.817,2.744.515,2.844.185,3.019.909,3.163.723,3.082.864,2.894.903,34.511.965
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,327.871,303.771,317.598,316.976,311.509,227.983,233.100,244.334,258.600,283.114,263.477,252.893,3.341.226
Norte,2.791.082,2.641.733,2.794.295,2.621.255,2.645.231,2.705.048,2.837.312,2.907.368,2.956.987,3.026.397,2.954.707,2.972.897,33.854.312
Nordeste,6.227.580,6.046.199,6.163.013,6.096.516,6.141.945,5.910.127,5.692.682,5.777.659,5.817.844,6.062.013,6.092.273,6.225.261,72.253.111
Sudeste/C. Oeste,24.038.487,24.016.379,23.167.030,23.282.125,22.377.722,21.809.073,21.568.131,22.231.445,22.262.122,23.301.260,23.231.698,22.568.617,273.854.089
Sul,7.330.738,7.665.269,7.278.854,7.236.052,6.683.610,6.567.886,6.446.540,6.648.544,6.494.009,6.593.180,6.665.911,6.609.532,82.220.125
,2014,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,40.305.916,41.566.188,40.273.025,39.572.226,39.129.407,37.755.865,37.816.158,38.686.461,38.928.294,40.132.082,40.987.339,39.883.612,475.036.571
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.600.972,2.476.973,2.612.667,2.601.327,2.707.327,2.643.397,2.720.799,2.759.032,2.836.892,2.825.876,2.762.256,2.816.133,32.363.651
Nordeste,6.889.700,6.623.968,6.860.921,6.687.697,6.689.128,6.384.599,6.563.376,6.663.973,6.732.911,6.941.588,6.933.719,6.881.215,80.852.794
Sudeste,20.704.340,21.652.958,20.717.543,20.451.935,20.068.194,19.293.127,19.130.088,19.438.306,19.529.007,20.304.956,20.968.110,20.098.588,242.357.152
Sul,7.333.087,8.019.594,7.281.924,7.007.480,6.794.930,6.627.215,6.639.960,6.872.774,6.787.415,6.922.704,7.264.836,7.266.585,84.818.504
Centro-Oeste,2.777.817,2.792.694,2.799.970,2.823.787,2.869.828,2.807.527,2.761.935,2.952.376,3.042.069,3.136.958,3.058.417,2.821.091,34.644.470
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,308.956,283.510,292.087,299.226,305.901,302.528,305.209,313.142,340.352,344.356,339.035,335.079,3.769.381
Norte,2.853.260,2.697.765,2.857.495,2.753.788,2.779.906,2.709.597,2.800.668,2.872.947,2.876.693,2.883.384,2.833.011,2.868.330,33.786.844
Nordeste,6.041.928,5.847.442,6.045.947,5.947.886,6.023.812,5.728.358,5.897.500,5.940.128,6.030.359,6.221.237,6.222.740,6.190.158,72.137.494
Sudeste/C. Oeste,23.768.685,24.717.876,23.795.572,23.563.846,23.224.858,22.388.167,22.172.821,22.687.470,22.893.475,23.760.401,24.327.716,23.223.460,280.524.348
Sul,7.333.087,8.019.594,7.281.924,7.007.480,6.794.930,6.627.215,6.639.960,6.872.774,6.787.415,6.922.704,7.264.836,7.266.585,84.818.504
,2013,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,38.391.038,38.029.467,38.468.143,38.673.537,38.371.701,37.653.536,37.723.944,38.639.358,38.550.776,39.411.960,39.945.439,39.583.058,463.441.957
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.392.453,2.266.206,2.378.192,2.461.104,2.454.164,2.449.533,2.562.520,2.559.396,2.571.187,2.720.586,2.641.606,2.738.735,30.195.682
Nordeste,6.663.524,6.455.462,6.708.919,6.855.469,6.663.637,6.387.356,6.537.945,6.583.577,6.539.700,6.835.807,6.762.927,6.737.081,79.731.404
Sudeste,20.089.886,19.775.484,19.907.218,20.097.448,19.911.821,19.652.655,19.331.509,19.838.087,20.027.335,20.325.563,20.765.973,20.381.824,240.104.803
Sul,6.617.103,6.952.735,6.833.953,6.572.123,6.613.672,6.498.366,6.544.154,6.797.218,6.572.961,6.654.874,6.849.526,6.885.986,80.392.671
Centro-Oeste,2.628.072,2.579.580,2.639.862,2.687.392,2.728.408,2.665.626,2.747.816,2.861.080,2.839.593,2.875.129,2.925.407,2.839.432,33.017.397
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,651.988,627.052,638.423,675.977,672.806,688.200,287.311,289.566,303.953,317.941,318.537,311.346,5.783.100
Norte,2.432.546,2.282.245,2.438.608,2.442.681,2.441.501,2.410.278,2.940.174,2.973.453,2.876.875,2.992.731,2.892.566,2.961.111,32.084.769
Nordeste,5.716.497,5.565.195,5.755.079,5.929.911,5.725.019,5.468.802,5.584.410,5.611.043,5.635.860,5.939.322,5.901.716,5.884.602,68.717.456
Sudeste/C. Oeste,22.972.904,22.602.240,22.802.081,23.052.844,22.918.704,22.587.890,22.367.895,22.968.078,23.161.127,23.507.091,23.983.094,23.540.013,276.463.961
Sul,6.617.103,6.952.735,6.833.953,6.572.123,6.613.672,6.498.366,6.544.154,6.797.218,6.572.961,6.654.874,6.849.526,6.885.986,80.392.671
,2012,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,36.305.167,36.888.068,38.635.574,37.995.869,36.810.191,36.528.393,35.917.147,37.179.603,37.661.696,37.796.014,38.643.584,37.765.084,448.126.391
